
[00:00:00.000 --> 00:00:00.320]  
[00:00:00.320 --> 00:00:00.400]   And
[00:00:00.400 --> 00:00:00.690]   so
[00:00:00.690 --> 00:00:00.940]   my
[00:00:00.940 --> 00:00:01.750]   fellow
[00:00:01.750 --> 00:00:03.290]   Americans
[00:00:03.290 --> 00:00:04.000]   ask
[00:00:04.000 --> 00:00:05.410]   not
[00:00:05.410 --> 00:00:05.650]   what
[00:00:05.650 --> 00:00:05.970]   your
[00:00:05.970 --> 00:00:06.340]   country
[00:00:06.340 --> 00:00:06.670]   can
[00:00:06.670 --> 00:00:06.880]   do
[00:00:06.880 --> 00:00:07.010]   for
[00:00:07.010 --> 00:00:07.960]   you
[00:00:07.960 --> 00:00:08.240]   ask
[00:00:08.240 --> 00:00:08.630]   what
[00:00:08.630 --> 00:00:08.910]   you
[00:00:08.910 --> 00:00:09.180]   can
[00:00:09.180 --> 00:00:09.370]   do
[00:00:09.370 --> 00:00:09.650]   for
[00:00:09.650 --> 00:00:10.030]   your
[00:00:10.030 --> 00:00:10.730]   country
[00:00:10.730 --> 00:00:10.760]  .

